expertiseName,expertiseUri,count
High pressure experimentation,http://info.deepcarbon.net/individual/41cff407c1f88c230af437d2e4,1
High pressure geochemistry,http://info.deepcarbon.net/individual/d6b432262-9cd7-415b-9b95-1f40acf307da,2
High pressure microbiology,http://info.deepcarbon.net/individual/64a9f59aecc1dfd57e1fcebee0,1
High pressure microbiology,http://info.deepcarbon.net/individual/b6050bb73d9a2df544256108bf,1
High-Pressure Experimental,http://info.deepcarbon.net/individual/da0f41991-2b81-4ac5-aac8-213fbe5cd1b5,3
High-Pressure Experiments,http://info.deepcarbon.net/individual/dcaacebf1-2e45-412b-8ecc-2c9931615e0f,11
High-Pressure Microbiology,http://info.deepcarbon.net/individual/db02167dd-b3b6-4be8-983f-197628e71945,9
High-Pressure Science,http://info.deepcarbon.net/individual/d40f109c0-7a6a-4680-959c-84c5af1f78b7,2
High-pressure Geochemistry,http://info.deepcarbon.net/individual/dbc037c4d-8fb1-4970-a6d2-1fdc9f5796a9,4
High-pressure Mineral Physics,http://info.deepcarbon.net/individual/d99cae88b-eddc-4a3f-a343-2c6c2f23a1eb,4
High-pressure Science,http://info.deepcarbon.net/individual/d307af525-bca8-40e3-84e6-4cd4fa263c00,5
High-pressure microbiology,http://info.deepcarbon.net/individual/4414f195d54e1031851f6fa803,1
History of Science,http://info.deepcarbon.net/individual/d60a684c1-f4c2-4857-8a01-f0243b0a0a26,1
Hydrocarbon exploration; geology; origin of natural hydrocarbons,http://info.deepcarbon.net/individual/5acdd63d8afd796e906cb6910d,1
Hydrogen,http://info.deepcarbon.net/individual/d526cd8c1-b8f2-4ff5-b923-32777dc89024,4
Hydrogeology,http://info.deepcarbon.net/individual/edd35d9789bf2844191561ddb9,1
Hydrology,http://info.deepcarbon.net/individual/21cc601da70256420032b0cc3d,1
Hydrology.,http://info.deepcarbon.net/individual/8ae227c0ba1dfc97e7929eacb0,1
Hydrothermal Organic Geochemistry,http://info.deepcarbon.net/individual/d4cece998-d777-4212-aa28-0262727b339f,5
Hydrothermal Systems,http://info.deepcarbon.net/individual/8b3f7b512e31d74b99e12161b3,1
Ice and Clathrates Physics,http://info.deepcarbon.net/individual/d6151c12e-6639-4fb5-8a61-ab285be5f57c,5
Iceland,http://info.deepcarbon.net/individual/24ad024fa5c2a2c53f30f286e7,1
Igneous Geochemistry,http://info.deepcarbon.net/individual/d0c2948fd-7b90-4e3e-8a12-9aab3ce115f3,8
Igneous Petrology,http://info.deepcarbon.net/individual/de9d49535-44e1-4b41-bad6-0ceca4f0fbc2,20
Igneous and Metamorphic Petrology,http://info.deepcarbon.net/individual/d84d5fc33-385a-4234-952a-a295d7792f44,7
Igneous ore forming systems,http://info.deepcarbon.net/individual/a71ac239-a9e2-407a-966e-0d62998f9f6e,1
Igneous rocks,http://info.deepcarbon.net/individual/482bf2638f2f2607d063e4a08b,1
Illustration,http://info.deepcarbon.net/individual/n1292,1
In situ mass spectrometry,http://info.deepcarbon.net/individual/1261775c-ad8c-4cbe-86a1-ca7cd3bec787,1
Inclusions in Minerals,http://info.deepcarbon.net/individual/d3628d1e4-e963-4767-b387-d6acfc256d08,5
Informatics,http://info.deepcarbon.net/individual/dc018b533-626d-43fa-8cb9-4f03fe135822,3
Information Architecture,http://info.deepcarbon.net/individual/d44e69194-0352-4022-a301-f56980b87d74,1
Infrared,http://info.deepcarbon.net/individual/d235723a5-53fe-48c0-8f76-db70e01a111c,1
Instrumentation,http://info.deepcarbon.net/individual/d5850470c-7925-4817-928c-a985f3e2f6f9,6
Instrumentation R & D,http://info.deepcarbon.net/individual/467951f4902cb9ab68dd625a5b,1
Interfacial Behavior,http://info.deepcarbon.net/individual/d055c5287-5c40-42f9-ab12-ba2ad7dc393c,2
Isotope Geochemistry,http://info.deepcarbon.net/individual/d9561f7ff-2e4f-460f-8605-6f554c5e52a3,30
Isotope science,http://info.deepcarbon.net/individual/3807b1c754a249a5d5aca9dac9,1
Isotope science,http://info.deepcarbon.net/individual/898837182df2c9040ab0fb59eb,1
Isotopes,http://info.deepcarbon.net/individual/f8e52437c40cef006309746677,1
Jammin',http://info.deepcarbon.net/individual/d36e546753f0282290c9fe99c2,1
Karst geomorphology,http://info.deepcarbon.net/individual/51592a9e265ccbeefb48e854d9,1
Kimberlite Mineralogy Petrology,http://info.deepcarbon.net/individual/de4412bcd-dbac-4e4b-ad43-1a06ead16abc,3
Kinetics,http://info.deepcarbon.net/individual/d9aed7c5c-c6f7-4dc4-8bba-400b4f622815,3
Knowledge Discovery,http://info.deepcarbon.net/individual/n5281,1
Laser spectroscopy instrumentation,http://info.deepcarbon.net/individual/429803d81f84900033c931c956,1
Life Science,http://info.deepcarbon.net/individual/28565bd11644601c52f15ed5f6,1
Life sciences,http://info.deepcarbon.net/individual/f368804bb632101d788de1b5ac,1
Life/Water/Rock Interaction,http://info.deepcarbon.net/individual/3f61cd351ad5eead8b03f4eeff,1
Linked Data,http://info.deepcarbon.net/individual/dfc42557b-7099-43ff-8bea-450185844652,2
Linked Data,http://info.deepcarbon.net/individual/dfc42557b-7099-43ff-8bea-450185844652,2
Lunar Geochemistry,http://info.deepcarbon.net/individual/d0154fa91-a0b7-40bf-b69e-f5ca041faca9,1
Mantle Carbon,http://info.deepcarbon.net/individual/d0e00d447-b7c3-4d9f-b21e-bd6f192a97d2,5
Mantle Convection,http://info.deepcarbon.net/individual/dbe379f8e-a8e1-4484-a35b-92405071ae62,3
Mantle Geochemistry,http://info.deepcarbon.net/individual/d05cbef88-c42f-49cd-a398-44cdf733a927,11
Mantle Magmas and Volatiles,http://info.deepcarbon.net/individual/d0042db9f-32fd-4547-8cc2-1519a5506151,17
Mantle Melting,http://info.deepcarbon.net/individual/d9e56fe72-b145-4fab-9082-0508577bda18,4
Mantle Metasomatism,http://info.deepcarbon.net/individual/d7ee7a6a5-e97f-4286-bdc9-9ce801c0d13b,6
Mantle Mineralogy,http://info.deepcarbon.net/individual/d03a9687d-5fbe-42bb-bdd2-f62f0a674c33,3
Mantle Petrology and Geochemistry,http://info.deepcarbon.net/individual/dafe8e831-f707-4269-b865-32ff1b16b288,10
Mantle Rocks Petrology,http://info.deepcarbon.net/individual/dd97d6735-8982-494c-8d8f-aa3d5a23eac8,3
Mantle petrology,http://info.deepcarbon.net/individual/29c2d9e8a47d01d3e8a652aa03,1
Mantle petrology and geochemistry,http://info.deepcarbon.net/individual/4980f1e195dcaec04af2a0552d,1
Mantle petrology/geochemistry,http://info.deepcarbon.net/individual/32a9bce2b902f1c7e80853de62,1
Mantle petrology/geochemistry,http://info.deepcarbon.net/individual/542cc8a372f717be32d6e1efbb,1
Marine Geology,http://info.deepcarbon.net/individual/d929d67a7-b6a3-4a49-823e-209ef8cacf3e,12
Marine Geology,http://info.deepcarbon.net/individual/d929d67a7-b6a3-4a49-823e-209ef8cacf3e,12
Marine Geophysics,http://info.deepcarbon.net/individual/faa75bec731a763ef913c1e485,1
Marine Microbiology,http://info.deepcarbon.net/individual/d8cd25bc5-7c75-4899-b467-01efdc2b2352,17
Marine Sediment Chemistry,http://info.deepcarbon.net/individual/d7e054c83-8fc7-4430-b463-39cf41dc54b9,7
Mars analogues,http://info.deepcarbon.net/individual/70e30457f4f71812b01d92596d,1
Mars exploration,http://info.deepcarbon.net/individual/4effb3bfa95a85c302012f83bd,1
Mass Spectrometry,http://info.deepcarbon.net/individual/a711594c-9796-4005-8d69-651f5668aac3,2
